split,id,item_id,dept_id,cat_id,store_id,state_id,date,d,d_num,sales,sell_price,seasonal_naive_28,random_forest_pred,xgboost_pred,lightgbm_pred,lightgbm_tuned_pred
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-10,d_1868,1868,6,0.98,0.0,8.302096009244739,6.200847,6.464591943649225,7.982221756988843
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-11,d_1869,1869,16,0.98,0.0,8.102914577235023,8.546414,9.71008579213822,13.421543923232605
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-12,d_1870,1870,24,0.98,0.0,7.384667937454578,7.740894,8.360936491807227,10.883970513761897
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-13,d_1871,1871,49,0.98,0.0,6.243548854431663,6.2878065,6.737277337454484,7.738122264536257
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-14,d_1872,1872,19,0.98,0.0,6.991572527436519,7.195969,6.125936870699126,9.987835714028362
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-15,d_1873,1873,6,0.98,0.0,5.785497273570202,6.2834134,7.722891430648739,13.859831185934915
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-16,d_1874,1874,2,0.98,6.0,6.213032525761253,5.816875,6.196559975320203,7.799245674972631
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-17,d_1875,1875,3,0.98,2.0,5.121815739828446,3.8447087,4.1322195259324825,4.853202037871939
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-18,d_1876,1876,31,0.98,8.0,7.705238706751071,6.020573,6.12479579506443,8.284589298858577
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-19,d_1877,1877,14,0.98,5.0,8.203301289557281,6.9818287,6.528789099963028,7.547049303631867
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-20,d_1878,1878,24,0.98,20.0,9.623752442381656,8.600845,7.756584213190205,8.697303210214024
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-21,d_1879,1879,9,0.98,9.0,7.260592981856428,6.7576375,6.668774738411509,6.842749915072447
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-22,d_1880,1880,26,0.98,5.0,7.456891800339234,6.3666945,5.993417031613212,6.889418820451442
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-23,d_1881,1881,21,0.98,14.0,8.728014997796686,6.6063833,6.762429833271255,7.018749256718159
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-24,d_1882,1882,16,0.98,7.0,7.929381284522184,6.4520607,6.268008404922059,7.012481111539096
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-25,d_1883,1883,43,0.98,27.0,9.30815342169189,8.73703,8.955548426523404,8.84789783331452
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-26,d_1884,1884,28,0.98,15.0,10.991137259414565,8.874646,10.040728600292464,10.58378461341824
Validation,FOODS_1_204_WI_2_validation,FOODS_1_204,FOODS_1,FOODS,WI_2,WI,2016-03-27,d_1885,1885,6,0.98,9.0,10.08513471177945,7.414309,8.672297472607763,8.161586985935315
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-02-29,d_1858,1858,0,0.98,0.0,0.8375861285141036,2.703117,1.6153094133200023,1.1693321247271955
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-01,d_1859,1859,0,0.98,0.0,3.006309392160768,4.2935185,2.580734270560176,3.778440281043847
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-02,d_1860,1860,0,0.98,0.0,4.243621346879248,5.586567,3.5388314998646444,4.778304325830291
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-03,d_1861,1861,0,0.98,0.0,4.226908974430268,5.586567,3.565975076316469,4.84741079252843
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-04,d_1862,1862,19,0.98,0.0,3.157632397819816,4.483319,2.722850329344764,3.736035186074949
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-05,d_1863,1863,31,0.98,0.0,4.423902614058856,7.056918,3.967619303457947,5.770323937575967
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-06,d_1864,1864,29,0.98,0.0,4.539750644949948,7.0450087,3.978615722085732,5.68910214776684
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-07,d_1865,1865,16,0.98,0.0,2.4284659374523936,4.593086,2.72343411115413,3.925278509004416
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-08,d_1866,1866,22,0.98,0.0,4.095532590397634,5.586567,3.5388314998646444,4.892931397654805
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-09,d_1867,1867,32,0.98,0.0,4.243621346879248,5.586567,3.5388314998646444,4.778304325830291
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-10,d_1868,1868,34,0.98,0.0,2.5445747762959585,4.2935185,2.580734270560176,3.654490615360496
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-11,d_1869,1869,14,0.98,0.0,4.312587272620821,5.8068905,3.664174602925078,4.968849904826353
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-12,d_1870,1870,19,0.94,0.0,5.837011194121841,6.7022905,3.669984029364799,5.999096393752128
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-13,d_1871,1871,26,0.94,0.0,4.044603682669341,6.7322574,4.842181199113501,6.563390740718993
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-14,d_1872,1872,26,0.94,0.0,4.842412594074512,6.9861655,4.990291895875983,6.513708635101304
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-15,d_1873,1873,25,0.94,0.0,4.710000977912896,6.704947,4.780375908996169,6.489583976850418
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-16,d_1874,1874,6,0.94,0.0,3.395331053441125,4.94441,4.062641948905055,4.951746326984953
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-17,d_1875,1875,41,0.94,0.0,3.008786423259162,4.187924,3.84639228959581,4.574147937647999
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-18,d_1876,1876,15,0.94,0.0,3.0404934268119588,5.104737,4.286363805361819,4.800501292593062
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-19,d_1877,1877,31,0.94,0.0,4.301072742189271,6.7436385,4.837985657332319,6.6233922174103705
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-20,d_1878,1878,9,0.94,0.0,4.044603682669341,6.7322574,4.842181199113501,6.563390740718993
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-21,d_1879,1879,11,0.94,0.0,2.814585426500223,5.17542,4.287282806010122,5.316042287628851
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-22,d_1880,1880,8,0.94,0.0,3.638783047875264,4.94441,4.062641948905055,5.153319202718906
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-23,d_1881,1881,13,0.94,0.0,3.395331053441125,4.94441,4.062641948905055,4.951746326984953
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-24,d_1882,1882,11,0.94,0.0,3.2415016092442315,4.94441,4.120363167460047,5.107231649609711
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-25,d_1883,1883,18,0.94,0.0,3.0404934268119588,5.104737,4.286363805361819,4.800501292593062
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-26,d_1884,1884,19,0.94,0.0,4.301072742189271,6.7436385,4.837985657332319,6.6233922174103705
Validation,FOODS_2_360_WI_3_validation,FOODS_2_360,FOODS_2,FOODS,WI_3,WI,2016-03-27,d_1885,1885,13,0.94,0.0,3.80740588081426,6.439524,4.763257467343623,6.558281745624138
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-02-29,d_1858,1858,17,1.0,5.0,3.8400247100585534,4.830538,5.678597564216166,5.291783186638785
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-01,d_1859,1859,17,1.0,3.0,4.122267398022044,4.135193,4.542778809878536,4.293608781002584
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-02,d_1860,1860,10,1.0,0.0,3.823928574249372,4.538872,4.968435448195364,4.630369599261556
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-03,d_1861,1861,14,1.0,7.0,4.283812588749194,5.2531686,5.175835825304185,4.969242168325282
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-04,d_1862,1862,24,1.0,15.0,4.32046250792095,6.472878,5.407786443427724,6.423568448397946
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-05,d_1863,1863,18,1.0,12.0,5.65211431240768,7.1243033,7.561080385368772,7.199289897365912
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-06,d_1864,1864,20,1.0,8.0,6.219456357600168,6.987648,6.8720550270439285,6.833209312690329
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-07,d_1865,1865,11,1.0,13.0,5.090564014086569,5.142187,5.573139572600716,5.409972871889296
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-08,d_1866,1866,17,1.0,3.0,4.723956772446929,4.9266467,5.578868468323327,4.960172051718661
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-09,d_1867,1867,13,1.0,0.0,5.381550878309875,4.753647,5.441819880405174,5.0395054158167305
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-10,d_1868,1868,18,1.0,13.0,5.878524210699977,5.487614,6.394287717098404,5.689341978227055
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-11,d_1869,1869,26,1.0,13.0,7.340195053482143,8.092683,7.611506783151482,8.62216588099237
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-12,d_1870,1870,15,1.0,21.0,9.045442278696797,9.943995,11.764459817849165,10.072232570253457
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-13,d_1871,1871,24,1.0,20.0,8.240880643970806,9.381917,10.271287072857048,8.870852930999709
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-14,d_1872,1872,14,1.0,20.0,7.742954619693718,9.086867,10.119547140058772,8.467820006259727
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-15,d_1873,1873,22,1.0,10.0,7.24649510513206,8.747139,10.354161519427908,8.417261412315991
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-16,d_1874,1874,5,1.0,27.0,9.051414110394164,8.859374,10.626848470271336,10.549206324676708
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-17,d_1875,1875,6,1.0,26.0,8.68787799144057,7.846469,7.157632227103437,7.986655103612922
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-18,d_1876,1876,8,1.0,24.0,9.53055373475599,11.158405,11.31522814381098,9.904693100835116
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-19,d_1877,1877,6,1.0,20.0,11.483724644498333,12.843874,13.81473641324938,13.096640774479903
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-20,d_1878,1878,17,1.0,29.0,11.201532204782168,14.009771,12.508822095322548,12.862158030537202
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-21,d_1879,1879,16,1.0,26.0,11.307116534224049,11.562466,11.806801108961292,10.261133327618388
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-22,d_1880,1880,10,1.0,12.0,10.257819172419664,9.996434,11.045683801123564,9.326121941840476
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-23,d_1881,1881,13,1.0,33.0,13.172984380207978,12.545657,12.694079298066448,9.67578802875486
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-24,d_1882,1882,7,1.0,35.0,15.611456379438582,12.050371,14.16130752321228,9.020692027428892
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-25,d_1883,1883,4,1.0,18.0,11.406499266979203,14.000081,11.68613499546722,9.493621715905965
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-26,d_1884,1884,7,1.0,26.0,14.10407017739887,15.41281,16.99020753038893,12.592057969986932
Validation,FOODS_3_109_WI_2_validation,FOODS_3_109,FOODS_3,FOODS,WI_2,WI,2016-03-27,d_1885,1885,19,1.0,15.0,12.538702968512274,14.075321,11.664089937401858,10.152027535839968
Validation,FOODS_3_150_WI_2_validation,FOODS_3_150,FOODS_3,FOODS,WI_2,WI,2016-02-29,d_1858,1858,46,1.88,38.0,31.02875000000001,19.76745,22.72956831362093,20.723852001542312
Validation,FOODS_3_150_WI_2_validation,FOODS_3_150,FOODS_3,FOODS,WI_2,WI,2016-03-01,d_1859,1859,26,1.88,38.0,30.04395833333333,20.447111,19.758230624857248,16.774474055879317
Validation,FOODS_3_150_WI_2_validation,FOODS_3_150,FOODS_3,FOODS,WI_2,WI,2016-03-02,d_1860,1860,24,1.88,47.0,32.14199404761904,26.453829,28.7180600086738,23.02114794187692
Validation,FOODS_3_150_WI_2_validation,FOODS_3_150,FOODS_3,FOODS,WI_2,WI,2016-03-03,d_1861,1861,44,1.88,15.0,27.72511904761905,17.773594,22.35241205301819,22.96279393389119
Validation,FOODS_3_150_WI_2_validation,FOODS_3_150,FOODS_3,FOODS,WI_2,WI,2016-03-04,d_1862,1862,33,1.88,26.0,29.74749999999999,24.291922,29.30778375420461,25.36792409853127
Validation,FOODS_3_150_WI_2_validation,FOODS_3_150,FOODS_3,FOODS,WI_2,WI,2016-03-05,d_1863,1863,81,1.88,87.0,35.52,42.22832,42.35197155719031,42.397467605835146
Validation,FOODS_3_150_WI_2_validation,FOODS_3_150,FOODS_3,FOODS,WI_2,WI,2016-03-06,d_1864,1864,38,1.88,53.0,35.70937499999999,30.990383,40.598956149241765,32.670621833582565
Validation,FOODS_3_150_WI_2_validation,FOODS_3_150,FOODS_3,FOODS,WI_2,WI,2016-03-07,d_1865,1865,58,1.88,13.0,19.626398809523813,15.616548,22.98803075001757,19.340835814711856
Validation,FOODS_3_150_WI_2_validation,FOODS_3_150,FOODS_3,FOODS,WI_2,WI,2016-03-08,d_1866,1866,50,1.88,72.0,29.332708333333336,28.518732,33.174303460097484,25.638269806240785
Validation,FOODS_3_150_WI_2_validation,FOODS_3_150,FOODS_3,FOODS,WI_2,WI,2016-03-09,d_1867,1867,45,1.88,16.0,24.251875,17.25743,26.55062242580524,22.46751411891551
Validation,FOODS_3_150_WI_2_validation,FOODS_3_150,FOODS_3,FOODS,WI_2,WI,2016-03-10,d_1868,1868,18,1.88,20.0,22.32934523809524,17.060629,25.13730250791717,18.191854915885347
Validation,FOODS_3_150_WI_2_validation,FOODS_3_150,FOODS_3,FOODS,WI_2,WI,2016-03-11,d_1869,1869,36,1.88,98.0,26.77875,34.421005,50.29856375806505,32.17835728947944
Validation,FOODS_3_150_WI_2_validation,FOODS_3_150,FOODS_3,FOODS,WI_2,WI,2016-03-12,d_1870,1870,52,1.88,35.0,37.68604166666666,38.93787,46.84383298329613,37.10537891625407
Validation,FOODS_3_150_WI_2_validation,FOODS_3_150,FOODS_3,FOODS,WI_2,WI,2016-03-13,d_1871,1871,30,1.88,69.0,34.269375000000004,33.27133,38.940071400841205,33.603811118476365
Validation,FOODS_3_150_WI_2_validation,FOODS_3_150,FOODS_3,FOODS,WI_2,WI,2016-03-14,d_1872,1872,16,1.88,14.0,22.45973214285714,18.431753,31.719241452831746,22.86238425262644
Validation,FOODS_3_150_WI_2_validation,FOODS_3_150,FOODS_3,FOODS,WI_2,WI,2016-03-15,d_1873,1873,15,1.88,49.0,31.114166666666662,27.478748,34.40294788198328,24.99662924715296
Validation,FOODS_3_150_WI_2_validation,FOODS_3_150,FOODS_3,FOODS,WI_2,WI,2016-03-16,d_1874,1874,42,1.88,8.0,18.48869047619047,14.225959,20.5775945412956,14.082538120352131
Validation,FOODS_3_150_WI_2_validation,FOODS_3_150,FOODS_3,FOODS,WI_2,WI,2016-03-17,d_1875,1875,17,1.88,2.0,14.458898809523808,12.815842,16.145462532884807,13.075466968207031
Validation,FOODS_3_150_WI_2_validation,FOODS_3_150,FOODS_3,FOODS,WI_2,WI,2016-03-18,d_1876,1876,27,1.88,33.0,27.68520833333334,25.67618,32.23791954043029,26.37678905030681
Validation,FOODS_3_150_WI_2_validation,FOODS_3_150,FOODS_3,FOODS,WI_2,WI,2016-03-19,d_1877,1877,26,1.88,35.0,28.44312500000001,28.286133,37.49277470188923,31.144119710031923
